date,open,high,low,close,volume
2015-10-20,3527.875,3577.7981,3510.4368,3577.7027,17902510800.0
2015-10-21,3580.8378,3601.2434,3417.4123,3473.2544,28207605000.0
2015-10-22,3453.2013,3530.7657,3442.3065,3524.5339,18430558000.0
2015-10-23,3536.8425,3581.8362,3515.8216,3571.2411,19829447800.0
2015-10-26,3614.7023,3620.7564,3561.1922,3589.2611,20424886300.0
2015-10-27,3569.4486,3601.0529,3486.102,3592.8794,19205614000.0
2015-10-28,3575.8048,3598.1717,3517.2104,3524.9199,17097709800.0
2015-10-29,3539.9777,3561.814,3507.9657,3533.3065,12701044600.0
2015-10-30,3530.2233,3574.4733,3497.5677,3534.0788,13914191400.0
2015-11-02,3489.2252,3543.4501,3474.7116,3475.9623,13000256800.0
2015-11-03,3484.7218,3501.704,3452.6203,3465.4927,10140187600.0
2015-11-04,3477.1592,3628.5377,3477.1592,3628.5377,20542386500.0
2015-11-05,3630.7817,3781.4085,3627.3009,3705.9697,39804656800.0
2015-11-06,3698.342,3801.705,3694.6567,3793.3739,29875307600.0
2015-11-09,3796.3792,3891.773,3796.3792,3840.3547,35680482300.0
2015-11-10,3806.6685,3876.4901,3798.8214,3833.2379,28651960300.0
2015-11-11,3828.4476,3843.1121,3781.4102,3833.6457,23223429600.0
2015-11-12,3841.7376,3843.8997,3771.2743,3795.3241,21753764700.0
2015-11-13,3756.2044,3793.7134,3727.5847,3746.2422,20348989100.0
2015-11-16,3682.7349,3764.4087,3680.0734,3764.1262,16169090100.0
2015-11-17,3790.4261,3852.7743,3750.1565,3758.3869,24853307100.0
2015-11-18,3760.4555,3771.8467,3706.3103,3715.5796,18568949500.0
2015-11-19,3725.6218,3775.2319,3714.6745,3774.9692,15463198900.0
2015-11-20,3778.8843,3793.5447,3757.0264,3774.3833,18695168900.0
2015-11-23,3774.4356,3802.8513,3743.405,3753.3351,17562681200.0
2015-11-24,3745.7607,3754.1688,3702.7369,3753.8887,14338328300.0
2015-11-25,3747.7594,3781.857,3735.7162,3781.6069,15194494100.0
2015-11-26,3795.2454,3805.8435,3756.8234,3759.4286,17352546800.0
2015-11-27,3739.0958,3742.7417,3534.3904,3556.9924,20893935800.0
2015-11-30,3554.89,3587.9703,3455.0679,3566.4122,17320116300.0
2015-12-01,3562.3186,3617.3054,3536.1156,3591.696,13653655400.0
2015-12-02,3587.7576,3725.8542,3573.4025,3721.9545,21353886500.0
2015-12-03,3709.5469,3758.4457,3693.137,3749.2985,19776212600.0
2015-12-04,3719.7338,3726.1236,3667.2911,3677.5922,15119952200.0
2015-12-07,3681.5817,3699.337,3658.5778,3687.6073,11388315000.0
2015-12-08,3668.8385,3668.8385,3619.4449,3623.0202,12578108300.0
2015-12-09,3613.4203,3655.1585,3611.4904,3635.9382,11332542200.0
2015-12-10,3634.366,3678.3183,3615.9911,3623.0842,12021562500.0
2015-12-11,3605.3723,3630.7435,3578.1463,3608.0587,11032248100.0
2015-12-14,3573.8838,3712.5026,3570.9978,3711.322,15176911900.0
2015-12-15,3707.7304,3717.3573,3679.2297,3694.3885,12648171000.0
2015-12-16,3703.9503,3713.0897,3677.4495,3685.4398,11134272300.0
2015-12-17,3712.7833,3768.8435,3709.8511,3755.8881,17792407500.0
2015-12-18,3754.9603,3810.218,3750.925,3767.9128,17346598000.0
2015-12-21,3762.0965,3877.8202,3759.989,3865.9646,21743527500.0
2015-12-22,3872.0975,3880.4675,3841.5929,3876.7325,18030366100.0
2015-12-23,3877.8722,3926.6857,3862.9646,3866.3814,20701714700.0
2015-12-24,3858.1348,3867.6786,3787.0836,3829.4022,14718139700.0
2015-12-25,3832.0849,3848.0247,3813.204,3838.201,11962401300.0
2015-12-28,3847.5323,3853.3891,3727.6316,3727.6316,15398844000.0
